"Dato";"Kumulativt antall";"Nye tilfeller"
"2020-02-21";1;1
"2020-02-22";1;0
"2020-02-23";1;0
"2020-02-24";1;0
"2020-02-25";1;0
"2020-02-26";4;3
"2020-02-27";6;2
"2020-02-28";15;9
"2020-02-29";21;6
"2020-03-01";31;10
"2020-03-02";43;12
"2020-03-03";74;31
"2020-03-04";107;33
"2020-03-05";140;33
"2020-03-06";164;24
"2020-03-07";184;20
"2020-03-08";249;65
"2020-03-09";496;247
"2020-03-10";737;241
"2020-03-11";912;175
"2020-03-12";1118;206
"2020-03-13";1265;147
"2020-03-14";1365;100
"2020-03-15";1464;99
"2020-03-16";1644;180
"2020-03-17";1820;176
"2020-03-18";2033;213
"2020-03-19";2272;239
"2020-03-20";2580;308
"2020-03-21";2754;174
"2020-03-22";2902;148
"2020-03-23";3199;297
"2020-03-24";3512;313
"2020-03-25";3804;292
"2020-03-26";4101;297
"2020-03-27";4363;262
"2020-03-28";4529;166
"2020-03-29";4635;106
"2020-03-30";4899;264
"2020-03-31";5107;208
"2020-04-01";5305;198
"2020-04-02";5503;198
"2020-04-03";5667;164
"2020-04-04";5755;88
"2020-04-05";5827;72
"2020-04-06";5985;158
"2020-04-07";6125;140
"2020-04-08";6231;106
"2020-04-09";6334;103
"2020-04-10";6402;68
"2020-04-11";6511;109
"2020-04-12";6587;76
"2020-04-13";6664;77
"2020-04-14";6786;122
"2020-04-15";6890;104
"2020-04-16";6970;80
"2020-04-17";7078;108
"2020-04-18";7127;49
"2020-04-19";7163;36
"2020-04-20";7247;84
"2020-04-21";7325;78
"2020-04-22";7402;77
"2020-04-23";7471;69
"2020-04-24";7525;54
"2020-04-25";7550;25
"2020-04-26";7587;37
"2020-04-27";7658;71
"2020-04-28";7708;50
"2020-04-29";7747;39
"2020-04-30";7786;39
"2020-05-01";7829;43
"2020-05-02";7852;23
"2020-05-03";7896;44
"2020-05-04";7941;45
"2020-05-05";7984;43
"2020-05-06";8023;39
"2020-05-07";8052;29
"2020-05-08";8093;41
"2020-05-09";8104;11
"2020-05-10";8116;12
"2020-05-11";8139;23
"2020-05-12";8158;19
"2020-05-13";8177;19
"2020-05-14";8200;23
"2020-05-15";8221;21
"2020-05-16";8234;13
"2020-05-17";8237;3
"2020-05-18";8254;17
"2020-05-19";8274;20
"2020-05-20";8293;19
"2020-05-21";8307;14
"2020-05-22";8333;26
"2020-05-23";8339;6
"2020-05-24";8345;6
"2020-05-25";8363;18
"2020-05-26";8375;12
"2020-05-27";8393;18
"2020-05-28";8409;16
"2020-05-29";8425;16
"2020-05-30";8425;0
"2020-05-31";8431;6
"2020-06-01";8438;7
"2020-06-02";8469;31
"2020-06-03";8481;12
"2020-06-04";8498;17
"2020-06-05";8528;30
"2020-06-06";8536;8
"2020-06-07";8545;9
"2020-06-08";8563;18
"2020-06-09";8576;13
"2020-06-10";8590;14
"2020-06-11";8601;11
"2020-06-12";8614;13
"2020-06-13";8621;7
"2020-06-14";8627;6
"2020-06-15";8645;18
"2020-06-16";8681;36
"2020-06-17";8696;15
"2020-06-18";8709;13
"2020-06-19";8727;18
"2020-06-20";8733;6
"2020-06-21";8737;4
"2020-06-22";8764;27
"2020-06-23";8777;13
"2020-06-24";8798;21
"2020-06-25";8815;17
"2020-06-26";8837;22
"2020-06-27";8847;10
"2020-06-28";8848;1
"2020-06-29";8874;26
"2020-06-30";8884;10
"2020-07-01";8892;8
"2020-07-02";8900;8
"2020-07-03";8910;10
"2020-07-04";8912;2
"2020-07-05";8913;1
"2020-07-06";8927;14
"2020-07-07";8937;10
